Username,Score
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
anand,0
